review,subtheme_1,subtheme_2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,cleaned_review,subthemes,subtheme_sentiments
"Easy to order tyres, choose fitting centre and everything went smoothly",garage service positive,ease of booking positive,,,,,,,,,,,,,"easy order tyre , choose fitting centre everything went smoothly",[],[]
My tyre was fitted as per time and seem to be efficient . OST of the staff we pleasant,wait time positive,length of fitting positive,garage service positive,,,,,,,,,,,,tyre fitted per time seem efficient . ost staff pleasant,[],[]
Excellent service very nice garage staff CFM NORTHAMPTON SUPERB,garage service positive,,,,,,,,,,,,,,excellent service nice garage staff cfm northampton superb,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Great choice of tyres and prices, smooth ordering and fitting booking",ease of booking positive,value for money positive,,,,,,,,,,,,,"great choice tyre price , smooth ordering fitting booking","[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
Easy to order all ready when I got there fitted quickly with no issues at a good price,garage service positive,length of fitting positive,value for money positive,,,,,,,,,,,,easy order ready got fitted quickly issue good price,[],[]
Great service great price you just have to pick the garage carefully,value for money positive,,,,,,,,,,,,,,great service great price pick garage carefully,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
The prices are competitive and the local garage provides great service.,value for money positive,location positive,garage service positive,,,,,,,,,,,,price competitive local garage provides great service .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy to navigate website, was sent notification of the appointment, but most important the suggested tyre fitter was excellent. I will be recommending and using [REDACTED] and their suggested fitter, Merityre in Bookham in the future",garage service positive,,,,,,,,,,,,,,"easy navigate website , sent notification appointment , important suggested tyre fitter excellent . recommending using [ redacted ] suggested fitter , merityre bookham future","[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
Easily arranged on line. Decent price for tyres and only small extra charge for fitting at home. That was done by very pleasant fitter.,ease of booking positive,mobile fitter positive,extra charges positive,value for money positive,,,,,,,,,,,easily arranged line . decent price tyre small extra charge fitting home . done pleasant fitter .,[],[]
"Convenient, easy way to search for tyres and pick a garage and a time that is suitable",ease of booking positive,,,,,,,,,,,,,,"convenient , easy way search tyre pick garage time suitable","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good price. Quality tyres.,tyre quality positive,value for money positive,,,,,,,,,,,,,good price . quality tyre .,[],[]
Very good service. Confidence in price.,value for money positive,,,,,,,,,,,,,,good service . confidence price .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Simple ordering, convenient fitting and sensible prices",value for money positive,,,,,,,,,,,,,,"simple ordering , convenient fitting sensible price",[],[]
Ease of use The mechanics who fitted my tyres were very helpful.,garage service positive,,,,,,,,,,,,,,ease use mechanic fitted tyre helpful .,[],[]
Easy to order easy to get fitted at a time and place to suit,ease of booking positive,location positive,,,,,,,,,,,,,easy order easy get fitted time place suit,[],[]
"Happy with [REDACTED] but won’t be using the garage to fit them , the man at the garage was very rude to me , so when I need tyres again from [REDACTED] I won’t be going to just tyres in Solihull off life lane",garage service positive,garage service negative,,,,,,,,,,,,,"happy [ redacted ] ’ using garage fit , man garage rude , need tyre [ redacted ] ’ going tyre solihull life lane","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'neutral')]"
Competitive price and convenient fitting in Northern Ireland.,garage service positive,value for money positive,,,,,,,,,,,,,competitive price convenient fitting northern ireland .,[],[]
Service and price were incomparable to other similar services and fitter couldn’t of been anymore friendlier,garage service positive,value for money positive,,,,,,,,,,,,,service price incomparable similar service fitter ’ anymore friendlier,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Slow fitting.,garage service negative,length of fitting negative,,,,,,,,,,,,,slow fitting .,[],[]
"Great prices and selection of tyres, convenient fitting locations",value for money positive,location positive,,,,,,,,,,,,,"great price selection tyre , convenient fitting location",[],[]
Used them before and was happy with the quick service and price for full fitting,value for money positive,,,,,,,,,,,,,,used happy quick service price full fitting,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Not a 10 as I found the garage a bit difficult to find,location negative,,,,,,,,,,,,,,10 found garage bit difficult find,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
"good price, good service",value for money positive,,,,,,,,,,,,,,"good price , good service","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Always good online price and very convenient - and excellent - fitting service at SBServices, Strathaven",location positive,value for money positive,garage service positive,,,,,,,,,,,,"always good online price convenient - excellent - fitting service sbservices , strathaven","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good prices. easy to arrange local fitting,location positive,ease of booking positive,value for money positive,,,,,,,,,,,,good price . easy arrange local fitting,[],[]
"Miles better price than anywhere else, selection of fitting centres and methods very versatile",value for money positive,,,,,,,,,,,,,,"mile better price anywhere else , selection fitting centre method versatile",[],[]
more expensive,value for money positive,value for money negative,,,,,,,,,,,,,expensive,[],[]
Good price. Local fitters.,value for money positive,location positive,,,,,,,,,,,,,good price . local fitter .,[],[]
Because the company fitting the tyres took a very long time to do the job.Almost as though they didnt like the fact the tyres had been booked through [REDACTED],length of fitting positive,garage service negative,length of fitting negative,,,,,,,,,,,,company fitting tyre took long time job.almost though didnt like fact tyre booked [ redacted ],"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'negative')]"
Contacted to change date as original date was changed by [REDACTED],ease of booking negative,change of date negative,,,,,,,,,,,,,contacted change date original date changed [ redacted ],[],[]
Dropped the car off at the time stated on the order and 30 mins later ready to drive away simple great job.,length of fitting positive,wait time positive,,,,,,,,,,,,,dropped car time stated order 30 min later ready drive away simple great job .,[],[]
I knew about the superb service because I have bought tyres before from [REDACTED].,garage service positive,,,,,,,,,,,,,,knew superb service bought tyre [ redacted ] .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Efficient and good value,value for money positive,,,,,,,,,,,,,,efficient good value,[],[]
"Good choice, easy to use, great pricing",value for money positive,,,,,,,,,,,,,,"good choice , easy use , great pricing",[],[]
This is the best price and range of tyres I could find also local garages and good times,location positive,ease of booking positive,value for money positive,,,,,,,,,,,,best price range tyre could find also local garage good time,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
because it was hassle free. booked it online. took it to the garage on a Saturday and collected after. it was cheaper than the garage I took the car to.,value for money positive,,,,,,,,,,,,,,hassle free . booked online . took garage saturday collected . cheaper garage took car .,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
I have used [REDACTED] on a number of occasions and have always received great service and a really good quality product. The number and locations of the approved fitting centres makes it easy to fit in with work.,location positive,tyre quality positive,ease of booking positive,,,,,,,,,,,,used [ redacted ] number occasion always received great service really good quality product . number location approved fitting centre make easy fit work .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"The process was simple and the tyre I bought was a good price. The only issue was that fitting it took 35 minutes from arriving at depot to leaving, which I felt was too long for a pre-arranged appointment.",value for money positive,length of fitting positive,garage service positive,length of fitting negative,,,,,,,,,,,"process simple tyre bought good price . issue fitting took 35 minute arriving depot leaving , felt long pre-arranged appointment .",[],[]
"Excellent service, good prices and lots choices.",value for money positive,,,,,,,,,,,,,,"excellent service , good price lot choice .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Easy to order and choose your own tyre fitter,ease of booking positive,,,,,,,,,,,,,,easy order choose tyre fitter,[],[]
"Great price, great customer experience at the garage I chose. Couldn’t fault the whole thing",garage service positive,value for money positive,,,,,,,,,,,,,"great price , great customer experience garage chose . ’ fault whole thing","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Excellent service, tyres delivered to the fitter arranged.both tyres were fitted to my car in about thirty minutes. Very good service.",delivery punctuality positive,garage service positive,length of fitting positive,,,,,,,,,,,,"excellent service , tyre delivered fitter arranged.both tyre fitted car thirty minute . good service .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good price and fitting was easy to arrange,value for money positive,ease of booking positive,,,,,,,,,,,,,good price fitting easy arrange,[],[]
Good service and price. ‘Faceless’ company,value for money positive,,,,,,,,,,,,,,good service price . ‘ faceless ’ company,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
The website is easy to use and you can choose the garage you want to complete the work,garage service positive,ease of booking positive,,,,,,,,,,,,,website easy use choose garage want complete work,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Excellent service! Simple website ordering system, tyres delivered to my local garage and fitted in a timely manner.",ease of booking positive,length of fitting positive,location positive,,,,,,,,,,,,"excellent service ! simple website ordering system , tyre delivered local garage fitted timely manner .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Great service and competitive price,value for money positive,,,,,,,,,,,,,,great service competitive price,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Item went missing from my vehicle during the time it was with the Company that fitted my tyres,garage service negative,,,,,,,,,,,,,,item went missing vehicle time company fitted tyre,[],[]
You missed the appointment time and told me the night before,ease of booking negative,,,,,,,,,,,,,,missed appointment time told night,[],[]
"Excellent all round, very competitive prices and the team were hugely helpful",value for money positive,,,,,,,,,,,,,,"excellent round , competitive price team hugely helpful",[],[]
Unbeatable Prices. Brilliant way to purchase tyres and plenty of local garages to fit them.I was unable to find a better deal elsewhere.,location positive,ease of booking positive,value for money positive,,,,,,,,,,,,unbeatable price . brilliant way purchase tyre plenty local garage fit them.i unable find better deal elsewhere .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Excellent service, very quick & efficient at a very good price",value for money positive,,,,,,,,,,,,,,"excellent service , quick & efficient good price","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Got the tyres I wanted with no hassle and at the best price.,value for money positive,,,,,,,,,,,,,,got tyre wanted hassle best price .,[],[]
Easy to use web site. User friendly appointment fitting and importantly great prices and great range of tyres,value for money positive,ease of booking positive,,,,,,,,,,,,,easy use web site . user friendly appointment fitting importantly great price great range tyre,[],[]
"Exactly what I wanted. As always, great prices and simple ordering, backed up by an excellent fitter. Exactly what I want.",garage service positive,value for money positive,,,,,,,,,,,,,"exactly wanted . always , great price simple ordering , backed excellent fitter . exactly want .",[],[]
"Good choice of products on the website, and efficient delivery and fitting process in conjunction with our local garage.",delivery punctuality positive,length of fitting positive,location positive,,,,,,,,,,,,"good choice product website , efficient delivery fitting process conjunction local garage .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Excellent service, and very good cost saving on tyres. Would recommend.",value for money positive,,,,,,,,,,,,,,"excellent service , good cost saving tyre . would recommend .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Very pleased. Excellent price on line and then fitted locally. What’s not to like,",location positive,value for money positive,,,,,,,,,,,,,"pleased . excellent price line fitted locally . ’ like ,",[],[]
"Good price, arrived in time",delivery punctuality positive,value for money positive,,,,,,,,,,,,,"good price , arrived time",[],[]
"Excellent service and good price too, have used previously and will use again",value for money positive,,,,,,,,,,,,,,"excellent service good price , used previously use","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"New tyres. Ease of purchase, garage professional and courteous.",garage service positive,,,,,,,,,,,,,,"new tyre . ease purchase , garage professional courteous .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Affordable and good online tyre data info. The only negative comment is I wanted to book at home service but could not book a slot except am or pm,value for money positive,mobile fitter positive,ease of booking positive,ease of booking negative,,,,,,,,,,,affordable good online tyre data info . negative comment wanted book home service could book slot except pm,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'negative'), ('Ease of booking', 'aspect', 'negative')]"
Nice and Easy. The website nice and simple to use. A local garage fitted them at a time of my choosing. No issues or problems with the service.,location positive,ease of booking positive,garage service positive,,,,,,,,,,,,nice easy . website nice simple use . local garage fitted time choosing . issue problem service .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Why the wait. Purchasing the new tyre and booking an appointment for fitting was very straightforward, but I was rather disappointed that having made a booking I still had to wait around for nearly 2 hours at the garage when the actual fitting only took 20 mins tops.",length of fitting positive,ease of booking positive,wait time negative,,,,,,,,,,,,"wait . purchasing new tyre booking appointment fitting straightforward , rather disappointed made booking still wait around nearly 2 hour garage actual fitting took 20 min top .","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
"Thought I’d already done this but it’s definitely worth doing again as I’m very satisfied with [REDACTED] and the authorised fitting firm Shawfix. Very good system,efficient and great value for money. I highly recommend this company and I’m glad a friend of mine recommended them to me too.",garage service positive,value for money positive,,,,,,,,,,,,,"thought ’ already done ’ definitely worth ’ satisfied [ redacted ] authorised fitting firm shawfix . good system , efficient great value money . highly recommend company ’ glad friend mine recommended .",[],[]
Easy to use and faultless from start to finish,ease of booking positive,,,,,,,,,,,,,,easy use faultless start finish,[],[]
Everything done as expected. However either this fitter (ATS) or my local garage where I had a service done has put some finger marks on the inner roof lining. but I can't be sure which.,damage negative,garage service positive,location positive,,,,,,,,,,,,everything done expected . however either fitter ( at ) local garage service done put finger mark inner roof lining . ca n't sure .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
Tyres purchase and fitting. Tyres fitted to my car locally at a great price.Kept informed of fitting date and time throughout.All in all a fuss free and pleasurable experience which I will definitely use again.,garage service positive,value for money positive,,,,,,,,,,,,,tyre purchase fitting . tyre fitted car locally great price.kept informed fitting date time throughout.all fuss free pleasurable experience definitely use .,[],[]
Very friendly and professional. Thanks for a speedy and painless turnaround. Definitely will be using you again.,length of fitting positive,garage service positive,,,,,,,,,,,,,friendly professional . thanks speedy painless turnaround . definitely using .,[],[]
Great garage great tyres great service,tyre quality positive,garage service positive,,,,,,,,,,,,,great garage great tyre great service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Quick and easy service from ordering the tyres to the fitting.,garage service positive,ease of booking positive,,,,,,,,,,,,,quick easy service ordering tyre fitting .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good competitive price and fitted bang on time slot,value for money positive,wait time positive,,,,,,,,,,,,,good competitive price fitted bang time slot,[],[]
Great service. Easy to order with a first class fitting service,garage service positive,ease of booking positive,,,,,,,,,,,,,great service . easy order first class fitting service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Busy garage. Very busy garage make a appointment very pleased with the work that was done,garage service positive,garage service negative,,,,,,,,,,,,,busy garage . busy garage make appointment pleased work done,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
It was easy to pick the tyres I wanted at a great price. Then select a garage and time that suits you.,value for money positive,ease of booking positive,,,,,,,,,,,,,easy pick tyre wanted great price . select garage time suit .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Excellent service and simple system for the whole process. Would recommend to all and will definitely use again.,ease of booking positive,,,,,,,,,,,,,,excellent service simple system whole process . would recommend definitely use .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Great service, very easy to use website. The staff at my local dealer - Oak Tree Garage,Darlington Road, DL6 2PA - were very polite, helpful and informative. Overall a brilliant experience, I will definitely use them again.",garage service positive,location positive,,,,,,,,,,,,,"great service , easy use website . staff local dealer - oak tree garage , darlington road , dl6 2pa - polite , helpful informative . overall brilliant experience , definitely use .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
New Tyres. Quick delivery to fitting centre that was also quick and very efficient. will def. use [REDACTED] and the garage again.,delivery punctuality positive,length of fitting positive,garage service positive,,,,,,,,,,,,new tyre . quick delivery fitting centre also quick efficient . def . use [ redacted ] garage .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Very professional and helpful staff.Strongly recommend although I had slightly problems with one of the garage's date after I selected the convenient garage with their availability date and hour to fit four tyres for my car.15 minutes later I received an email from [REDACTED], saying that the nominated garage is fully booked on that day ( when I booked there were showing other three different times as well on that day !! ).The garages's deta bases have to be up to date with [REDACTED] system. Many thanks to [REDACTED] staff were resolved the problem very quickly.",wait time positive,advisor/agent service positive,garage service positive,advisoragent service positive,ease of booking negative,,,,,,,,,,"professional helpful staff.strongly recommend although slightly problem one garage 's date selected convenient garage availability date hour fit four tyre car.15 minute later received email [ redacted ] , saying nominated garage fully booked day ( booked showing three different time well day ! ! ) .the garage 's deta base date [ redacted ] system . many thanks [ redacted ] staff resolved problem quickly .","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
"Will use again. Ease of ordering on line, choice of garage, good price and pleased with service all round.",value for money positive,,,,,,,,,,,,,,"use . ease ordering line , choice garage , good price pleased service round .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Excellent service. Price is great (fitting included in price, no hidden costs). Fast and great service, will always recommend.",extra charges positive,value for money positive,,,,,,,,,,,,,"excellent service . price great ( fitting included price , hidden cost ) . fast great service , always recommend .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy to use and garage was great. Only crticism is that on [REDACTED] it said the slot was morning so I checked with them what that actualy meant. They said I could go anytime from 8.30 to 11.30. I booked the fitting and got an appointment time of 8.30, no flexibility as per first enquiry. I mentioned this to the garage and they told me they also get told what time slot it is by [REDACTED]. This should be clearer up front.",garage service positive,ease of booking negative,ease of booking positive,,,,,,,,,,,,"easy use garage great . crticism [ redacted ] said slot morning checked actualy meant . said could go anytime 8.30 11.30. booked fitting got appointment time 8.30 , flexibility per first enquiry . mentioned garage told also get told time slot [ redacted ] . clearer front .","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
"Seamless hasslefree experience. Seamless delivery, fitting and payment. Good price too. I like being able to select the tyre I want in advance. There was a good range to suit my budget and being able to schedule it for a time/day that suits me is very handy.",delivery punctuality positive,garage service positive,ease of booking positive,value for money positive,,,,,,,,,,,"seamless hasslefree experience . seamless delivery , fitting payment . good price . like able select tyre want advance . good range suit budget able schedule time/day suit handy .",[],[]
Very easy to use and a great saving on previous quotes. Faultless from start to finish,value for money positive,,,,,,,,,,,,,,easy use great saving previous quote . faultless start finish,[],[]
"Never had any issues with the tyres, fitting or garages i’ve Used via [REDACTED]- easy and cost effective service.",garage service positive,value for money positive,,,,,,,,,,,,,"never issue tyre , fitting garage ’ used via [ redacted ] - easy cost effective service .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"The whole process is very slick, prices competitive, and the ratings of nearby fitters helpful to choose who to use. I have used [REDACTED] for a number of years now and never been let down.",location positive,value for money positive,,,,,,,,,,,,,"whole process slick , price competitive , rating nearby fitter helpful choose use . used [ redacted ] number year never let .",[],[]
Got high end tyres for an awesome price. Definitely use again.,tyre quality positive,value for money positive,,,,,,,,,,,,,got high end tyre awesome price . definitely use .,[],[]
"Friendly service and advice,very good prices through [REDACTED]",value for money positive,,,,,,,,,,,,,,"friendly service advice , good price [ redacted ]","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Great service and a nice easy way to choose tyres for your budget,value for money positive,,,,,,,,,,,,,,great service nice easy way choose tyre budget,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
